CP_Name,Unit_Price,Product_ID,Category_ID,Curr_Client_ID
Wine - Trimbach Pinot Blanc,$4.14 ,8318809335,1270934228,9467661993
Cookies - Englishbay Oatmeal,$0.51 ,6898935038,4840397252,7468186278
Mcgillicuddy Vanilla Schnap,$1.20 ,8644487485,967002052,6664649489
Rosemary - Dry,$4.65 ,5697631146,5516395305,9429212265
Veal - Knuckle,$0.03 ,5556894213,3393610511,775550353
Squid - Breaded,$0.31 ,2131521855,1836856717,1265294704
Five Alive Citrus,$4.12 ,5895786308,9655307565,9078229721
Cookie Chocolate Chip With,$1.85 ,6193705732,7099429825,4788639181
Arrowroot,$4.08 ,9986693934,4366741067,267345917
Langers - Mango Nectar,$3.08 ,1959326155,2126377504,6895570020
Water - Green Tea Refresher,$1.68 ,5130045939,2225448140,5342435234
Chicken - Livers,$0.36 ,5415896201,4296314424,2104432235
Pepper - Chili Powder,$4.81 ,8035692283,9323247812,3654911803
Lighter - Bbq,$0.05 ,7372502624,9599830415,4587202983
Kellogs All Bran Bars,$2.55 ,4527151622,3858987573,1292725192
Lettuce - Romaine,$4.11 ,881499951,7303394257,1836055536
Beets - Golden,$4.13 ,3716743658,6712694663,4900207969
Everfresh Products,$4.88 ,7226477718,7191200766,4762453366
"Lemonade - Strawberry, 591 Ml",$2.37 ,7666796463,4833751801,280881169
Rice - Aborio,$2.21 ,6095529522,9305887104,6743546569
Cheese - Roquefort Pappillon,$3.19 ,7914147427,7935235384,9691562529
"Pork - Chop, Frenched",$4.13 ,1194031935,4310850197,934193630
"Bread - Pumpernickle, Rounds",$1.82 ,2884885676,8465282072,6969232263
Rice - Aborio,$0.82 ,6499823627,1044442867,9874873604
Lettuce - Red Leaf,$4.42 ,3520400073,417382332,4133836626
Cheese - Comte,$1.13 ,9416217492,6181814183,5884506260
Soup Campbells - Tomato Bisque,$1.58 ,7517288334,1121139787,920935192
Pie Pecan,$3.56 ,5945093564,6263552735,9516262457
"Pasta - Canelloni, Single Serve",$1.33 ,8166737116,4692469749,5128406008
Roe - White Fish,$3.68 ,6095288274,890341346,1469214873
Loquat,$4.79 ,2017026530,728308401,9572590979
Eel Fresh,$3.14 ,5453126752,4308253357,617541159
Fennel - Seeds,$2.20 ,2982222027,9762949617,8710416889
"Pork - Loin, Boneless",$3.61 ,6481112346,3414096374,7923583056
Lobster - Tail 6 Oz,$1.62 ,3046164572,4180315882,2641745550
Nescafe - Frothy French Vanilla,$4.39 ,3020293170,5554489338,9187020556
Appetizer - Asian Shrimp Roll,$2.55 ,1838924469,9886336978,2688993151
Jameson - Irish Whiskey,$2.15 ,7175658060,1773721097,3845496061
Fennel - Seeds,$4.30 ,7442730094,2156940630,9064744149
Foam Espresso Cup Plain White,$2.58 ,6065541060,7801687302,7561109407
Wild Boar - Tenderloin,$0.56 ,8246214063,8909339896,2149725401
Lettuce - Red Leaf,$3.91 ,7080919177,7255425607,4822461327
Onions Granulated,$0.89 ,6353254520,8410834081,9652783064
Cabbage Roll,$3.53 ,4213729257,2206905515,6477074524
Wine - Magnotta - Cab Sauv,$2.98 ,9520710299,6324614387,7666795068
Salami - Genova,$4.04 ,4707111858,4748805595,1958031631
"Beef - Rib Roast, Capless",$0.32 ,3103331886,8843812696,5330803322
Sauce - Sesame Thai Dressing,$1.81 ,1296468291,7378954667,316160024
Wine - Zinfandel Rosenblum,$3.48 ,802249620,6056667723,8914181707
"Pepper - Black, Crushed",$2.42 ,2594193135,3008042007,700120343
Sherbet - Raspberry,$1.27 ,8418932171,4455821848,1103865749
Bread Base - Gold Formel,$2.91 ,8606089796,8672204085,124599532
Island Oasis - Lemonade,$1.62 ,3287153390,4607934917,8457926322
Bagel - 12 Grain Preslice,$1.01 ,2227122544,4256118020,3882304685
Cheese - Parmesan Cubes,$2.24 ,3507568233,5354762782,9572221698
Yeast Dry - Fermipan,$1.42 ,7626992040,5249366775,7287503204
Flower - Dish Garden,$4.52 ,471658138,1934270393,4985292400
Shrimp - 100 / 200 Cold Water,$2.49 ,6336680916,382555856,3288442019
Beef - Tenderloin,$0.85 ,5093317705,9484787533,667453369
Jello - Assorted,$2.34 ,1122436823,4260536818,4018821344
Table Cloth 120 Round White,$4.51 ,9617061961,7327037950,7330047384
French Pastry - Mini Chocolate,$0.91 ,2857595808,209075872,8533194579
Yogurt - Plain,$3.10 ,4102673,2042863130,6418489780
Cognac - Courvaisier,$4.31 ,6973215580,4396112394,994431473
"Bread - Dark Rye, Loaf",$4.06 ,7791393379,7547252125,7729088584
Basil - Seedlings Cookstown,$0.21 ,8734838996,9108952140,9148178551
Chicken - Bones,$3.23 ,6715167915,3138327192,1422982750
Tray - 16in Rnd Blk,$1.48 ,7364907661,1808258118,2681670667
Juice - Prune,$4.39 ,4407953039,3984463960,9740901948
Clams - Bay,$0.82 ,1526493004,4975054515,6639733382
Sugar - Crumb,$0.14 ,1195565763,9121310629,1283710765
Urban Zen Drinks,$4.11 ,2698475692,1817249649,1834508770
Loquat,$2.04 ,3636850849,5205985267,8510683441
Tomatoes - Roma,$3.76 ,8925673606,2586956427,1034074180
Flour - Fast / Rapid,$1.98 ,9782305138,8185546894,3129976000
Lobster - Live,$2.98 ,2519618981,2324453886,6086726213
"Nut - Pecan, Halves",$0.42 ,2794997718,206681720,1708061614
Chef Hat 20cm,$1.37 ,3487408929,770823343,9044477420
"Oregano - Dry, Rubbed",$0.01 ,2576211569,5226637136,7968983878
Spice - Montreal Steak Spice,$0.98 ,1662988508,3502707197,4126237259
Beans - Kidney White,$4.90 ,6876584488,6750582664,6354571686
Eggroll,$1.47 ,528714511,667029664,2999813961
Mousse - Passion Fruit,$0.68 ,1653626674,2772235254,4973144177
Smoked Tongue,$2.23 ,8612802792,9778799180,2986648800
Octopus,$1.66 ,6296345836,4806218286,7255363261
Fond - Neutral,$3.46 ,2426478047,1411953339,5372592028
"Iced Tea - Lemon, 340ml",$4.43 ,8676137234,2171467150,7932134218
"Roe - Lump Fish, Black",$4.96 ,1029413606,7739580228,6803107973
Cheese - Roquefort Pappillon,$1.88 ,1323269703,1198473207,4379265374
Ginsing - Fresh,$0.30 ,489385702,2869061366,1277412774
Bay Leaf Ground,$1.17 ,8604507302,233870997,1028829108
Chambord Royal,$0.19 ,3856313346,4955837697,2482304504
Soup - French Can Pea,$2.94 ,9528501613,3524051669,724605517
Maintenance Removal Charge,$1.51 ,5468334089,809072157,8189098039
Wine - Alicanca Vinho Verde,$2.20 ,1578456940,9036729912,8285427528
Appetizer - Asian Shrimp Roll,$3.67 ,1797179535,3145268430,3421413339
Ezy Change Mophandle,$1.22 ,7218472672,2465518054,723021244
"Pepper - Chipotle, Canned",$4.99 ,6641362728,4029397352,186753888
"Lettuce - Mini Greens, Whole",$3.32 ,1118914066,4417707073,8674939457
Cheese Cloth No 60,$2.29 ,7720600029,7693562664,5810139965
