Client_Company_ID,Curr_Client_ID,Location
9134530606,9467661993,Nanga Eboko
1262586062,7468186278,Rio Branco do Sul
7370314812,6664649489,Nice
4087716309,9429212265,Stockholm
4955806457,775550353,Nīkshahr
8582387245,1265294704,Denton
4084794120,9078229721,Venado Tuerto
2099173958,4788639181,Lakateng
8231266844,267345917,Molodohvardiys’k
2798444527,6895570020,Quimistán
4752739259,5342435234,Puerto Santander
3666413048,2104432235,Amparafaravola
9821053580,3654911803,Sopron
5803701521,4587202983,Dongtai
9528989446,1292725192,Sutton
5401776284,1836055536,Yabrūd
9388551869,4900207969,Hengjing
7503367997,4762453366,Kocēni
8292934057,280881169,Lameira
7814993946,6743546569,Lewopao
1590499735,9691562529,Umm Şalāl ‘Alī
3954047861,934193630,Bishan
6091179942,6969232263,Železná Ruda
9735432668,9874873604,Pacucha
217680364,4133836626,Estrada
2392670897,5884506260,Terong
9415969504,920935192,Springfield
4912704458,9516262457,Luofang
4914419610,5128406008,Xin’an
5408867110,1469214873,Ginowan
4595879032,9572590979,Heung-hai
1386755222,617541159,Nioki
5437962347,8710416889,Mezhevoy
7333417514,7923583056,Muan
4883319008,2641745550,Lopandino
7614794109,9187020556,Xiyang
8023036165,2688993151,Iwase
3015197401,3845496061,Longsha
1748122282,9064744149,Ijuí
8952458613,7561109407,Las Varas
9007550101,2149725401,Vília
9350940434,4822461327,Zhushan
4527553127,9652783064,Longbu
1214596819,6477074524,Labuan
9415046937,7666795068,Trzebiatów
4667311177,1958031631,Pshada
508979900,5330803322,Aral
8724468223,316160024,Yantian
7963915467,8914181707,Moch
277005736,700120343,Plereyan
4637651980,1103865749,Almoínhas Velhas
8670682494,124599532,Concepcion
9161831352,8457926322,Divinópolis
2734533901,3882304685,Uryupinsk
388601647,9572221698,Rivadavia
2292441756,7287503204,Mukacheve
3945013690,4985292400,Quinta do Sobrado
6875380668,3288442019,Ressano Garcia
4506509951,667453369,Rana
9316935113,4018821344,Gaoua
1581184158,7330047384,Xiaoguwei
8357805604,8533194579,Beaufort
1562579835,6418489780,Vale de Rolas
8686869378,994431473,São Fidélis
6296947844,7729088584,Casalinho
9169393893,9148178551,Granada
1092440208,1422982750,Raciążek
6018780747,2681670667,Stamáta
5200476968,9740901948,Takarazuka
8540115174,6639733382,Beselga
9541545106,1283710765,Parung
2744231037,1834508770,Barrio San Luis
1382306547,8510683441,Achoma
4079076924,1034074180,Picoto
9266006475,3129976000,Mueang Phuket
5057944991,6086726213,Guapimirim
6949584326,1708061614,Shixian
9176126927,9044477420,København
5372970898,7968983878,Santiago de Cuba
597726647,4126237259,Thika
2136848577,6354571686,Pingshi
9359370029,2999813961,Uinskoye
9356820821,4973144177,Aţ Ţafīlah
2937442161,2986648800,Miyang
5210102513,7255363261,Amersfoort
3457946647,5372592028,Zhukovka
5158698260,7932134218,Petaling Jaya
2772874214,6803107973,South River
8909369256,4379265374,Marale
4568671914,1277412774,Kulykiv
4690768943,1028829108,Keroak
8312003495,2482304504,Delareyville
6534568802,724605517,Veisiejai
822259613,8189098039,Szlachta
2290534536,8285427528,Kingisepp
3201643394,3421413339,Uruobo-Okija
9298565526,723021244,Basseterre
390345164,186753888,Krabi
4996464089,8674939457,Poręba Spytkowska
115318763,5810139965,Krajan Timur Mlokorejo